L,T,J,D,Bx,By,Bz,seed,therm_sweeps,samples,skip,proposal_width,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
16,1.5,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.4804189363742253,0.0004896888239931,0.0309066161799541,0.0002233113375085,0.4085182747433087,2.9936413361889103,1.3096012149759886,0.0035769407855384,3.1799484962999526e-05,0.0082838097421273,0.8470185058593749,0.7853981633974482,2,2,0
16,1.5,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.477283504192705,0.0004798612403566,0.0284284597356931,0.0002165862044873,0.3842833119169375,2.470512706275296,1.2575638049947162,0.0031997501418261,2.8051569003427647e-05,0.0064462071689548,0.8471500325520833,5.497787143782138,1,14,0
16,1.5,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.4774080709290505,0.000528341314949,0.0276887985967786,0.0002256064859632,0.416958763079319,2.4562533598790575,1.5245014088749256,0.002997465051324,2.231297836362176e-05,0.004078542876307,0.84719228515625,0.3926990816987241,2,1,0
16,1.5,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.4781175282834875,0.0005047358191586,0.028086021111676,0.0002186304576117,0.3915716771472708,2.530524132923739,1.3913197070569427,0.0032278391482847,2.4857477985311494e-05,0.0050617893829856,0.8471913899739583,5.890486225480862,1,15,0
16,1.55,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.4096559945419167,0.000492090381817,0.0288736055249487,0.0002247923910508,0.4006016356038377,2.5720047834860686,1.2385329341762583,0.0032207994246026,2.439029816501809e-05,0.0047161077990841,0.8529595703125,0.3926990816987241,1,1,0
16,1.55,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.41051072151208,0.0005315252011228,0.0291500649001904,0.0002276883276292,0.4109897955679003,2.608310975760168,1.444992281581696,0.0029324675898806,2.2454055175218e-05,0.0039970453475861,0.852987451171875,5.497787143782138,1,14,0
16,1.55,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.4049855005746086,0.000498535498869,0.0285020093780209,0.0002239829302806,0.3977217563648567,2.5310573521231103,1.2711885806273158,0.0031879407232487,2.236925748218218e-05,0.003966912686179,0.8532374511718749,5.890486225480862,2,15,0
16,1.55,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.4049188270471522,0.0004895714061169,0.0271435169027396,0.0002127172020293,0.3587192874744848,2.297053477429901,1.225885463814112,0.0029260866681329,1.96577420951782e-05,0.0030634921398447,0.8532935872395833,0.7853981633974482,1,2,0
16,1.55,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.4078147461250363,0.0005135328041042,0.0270710159146265,0.0002089231530382,0.3460370871365558,2.2571908620588728,1.348820595908906,0.0028986218448431,2.001688138580721e-05,0.0031764522842585,0.8531089680989583,0.7853981633974482,1,2,0
16,1.6,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.344905453889502,0.0005083604694786,0.0276537080271874,0.0002164379388737,0.3597725290286482,2.2832651278196567,1.24046576125721,0.0028580186822294,2.3447760573822213e-05,0.0042224446151215,0.8586526529947917,5.497787143782138,2,14,0
